评论,正向指数,负向指数,情感分类
"('最近看到你的视频和做的努力很感动。这里提供一下中国法律的一个问题。证据不足虽然不可以定罪，但是可以拘留进看守所。拘留时间不能超过两个月，至迟不能超过三个月。但现在法律体系有一个漏洞，就是没有规定可以延期多少次。李宁院士就这样被关了五年还没有出来。很恶心。而且看守所环境比监狱还糟糕。可以让恶人交给不完善的规定来磨。',)","('0.043%',)","('99.957%',)",负向
"('1.豫 盖 弥 章：用于形容黑恶势力越想掩盖罪行，暴露地越明显2.我们俩无冤无仇：用于带恶人继续加害前的宣言，可简写为“无 冤 无 仇”3.我在群里有截图：用于带恶人准备反咬一口的标志（可以自行发挥，将“群”“截图”改成别的）4.摸你屁股：带恶人面对正义势力时愚蠢的报复行为5.有哪个学生想死啊：带恶人の死亡威胁6.战术录像：指吴军豹看似用手机录像，实则只是用手机勉强遮挡自己不忍直视的臭脸7.豹起发难：指不能放纵恶人销声匿迹，否则他就会在两年后突然跳出来伤人8.豹仇雪恨：指受害者以制裁吴军豹为目标的斗争行为9.棺中窥豹：吴军豹biss，所以我们将来只能看见棺中的它10.舅不救你：讽刺坐看受害者被wjb威胁的舅舅是屑11.战术饶舌：吴军豹为了诡辩否认罪行而说出“知道就知道不知道就不知道”的憨憨绕口令12.除豹安良：消灭吴军豹，安抚人民13.一顿豹揍：形容击打力度就像人民群众暴打吴军豹一样猛烈，被打的太惨了14.豹跳如雷：指吴军豹跳出来像当年雷电法王一样作恶15.一豹还一报：指吴军豹一定会遭到报应16.三吴产品：指戒尺，龙鞭，小黑屋（来自@执事们的沉默）17.开网吧的转行了：吴军豹之生平，我素有所知（来自@豫章狗托）18.自瞄豹头：卢老爷认为玩游戏要笑，可是wjb让学生们玩游戏笑不出来。于是卢老爷为了打败wjb解封了外挂的禁忌力量——自瞄爆头19.吴琐事事：吴军豹太猥琐，除了欺负学生没有别的事可干（来自@执事们的沉默）20.吴言以对：指水军用吴军豹的歪理邪说当武器（来自@执事们的沉默）21.吴事生非：指像wjb一样胡作非为（来自@狐fan灯火阑珊）22.豫豫寡欢：指进过豫章书院的学生受到荼毒，患上抑郁23.吴屑可击：wjb太屑了以致于面对它我们甚至一时拿不出办法24.森田疗法：用于反讽关禁闭行为25.吴名火气：指因为wjb恶行而产生的怒火26.有辱菌微：指水军倒戈，有辱吴军豹“微”名（来自@执事们的沉默）27.吴所逝世：吴军豹去世了28.吴冤吴仇：看似无冤无仇，实则都是对吴军豹的仇恨（来自@燒火工）29.吴fuck说：指吴军豹没有正常价值观（来自@执事们的沉默）30.瞅你章的：说一个人长得和豫章书院一样（来自@执事们的沉默）转',)","('0.047%',)","('99.953%',)",负向
"('无人自私的父母，想挣钱的黑心商人，一起虐待无辜的孩子',)","('0.034%',)","('99.966%',)",负向
"('说实话刚开始看到这件事的时候我的内心是很冷漠的，这毕竟没有关系到我的实际利益，愤慨一下就行了，我能做些啥呢？这些事不是有人在奋斗吗？会缺你一个吗？我昨天看明星大侦探的时候撒贝宁的一个疑问让我一下惊醒了，“人总会在一些关键的事件上做出一个自以为正确的事，你能保证结果是正确的吗？”我小的时候一个同学受到别的同学欺负，当时的我很冷漠，毕竟和我有什么关系呢？又不是我朋友。虽然最后没有什么惨剧发生，但是现在我回想起来总是很后悔，为什么当时我没有站出来呢？如果发生了惨剧我是不是会后悔一生呢？蜘蛛侠里面一个年轻人把劫匪让过去的时候，没有想过劫匪会杀了他的养父。我是不是应该站出来做一些力所能及的事呢？加油，温柔up主，加油，小伙伴们。希望那些和我一样冷漠的人遇到这些不平事时能多想想，当然，这并不是说你应该怎么样怎么样，这只是我的突然的感慨，希望大家做任何事任何选择的时候不要后悔，不要有遗憾，如果我的话冒犯到您，很抱歉，敬请原谅。',)","('0.049%',)","('99.952%',)",负向
"('人都不是冷血的，你也许不想引火上身，这点我感同身受，你不发视频，但请在每一篇文章视频，下面留下你的足迹，就当为这个世界的正义做一份贡献，也许我们怂，但我们的眼晴是明亮的，也许我们不敢带头反抗，但我们不可能做到冷眼旁观，你可以睁一支眼闭一支眼，但请不要闭上眼，请你用这份弱得不能再弱的力量，为受害的学生讨一个公道。(认同请转发)',)","('45.283%',)","('54.717%',)",负向
"('豫章书院热度开始掉了！我知道大家看了太多的豫章视频了，所以厌倦了，就不去小小的点击一下视频，小小的点个赞收个藏，搞个转发了。想着自己不干，别人会做的。可是，如果所有人都这样想，豫章书院的热度不就掉下了吗？我们不就输了吗？！能这样吗？不可以！不能放弃呀！请大家家努力努力吧！让他们陷入人民战争的汪洋大海里吧！欢迎转发！',)","('0.091%',)","('99.909%',)",负向
"('记得暴走大事件的第四季，王尼玛批判一个叫做豫章书院的地方，打着“戒网瘾”和“让孩子听话”的旗号，虐待孩子，王尼玛说过的下面一段话让我记忆犹新：           假如有一天，你老了，走不动了，坐在屋子里怀念着青春年华时，突然一群大汉闯了进来，把你架起来，你的儿子手里拿着一张像是合同的东西，含着泪签了字。然后你就被送进了“养老书院”，在这里，你每天要背三千字的育儿经，背错一个字就用榔头敲一下大腿。你的三餐分别只有一个核桃，这是为了平衡膳食（不知道对不对），你每次大小便失禁，拉出来 的 尿 都让你喝下去，这是为了治疗你的糖尿病。有一天，养老书院被媒体曝光了，你的儿女却早已成为他们的走狗，为书院辟谣，。真到了那时候，你不要怨，这是爱！（转）',)","('14.208%',)","('85.792%',)",负向
"('柯洁之前对微博的抨击说的确实没错，微博这种流量不比b站知乎小的平台，这种事情居然上不了热搜，哪个明星网红换个发型生个孩子分分钟前十，至少在这件事上b站显得比微博知乎更有骨气。微博?批博!',)","('1.249%',)","('98.752%',)",负向
"('营销号,这次要靠你们了',)","('0.333%',)","('99.666%',)",负向
"('hhhhhh魔鬼',)","('99.637%',)","('0.363%',)",负向
"('很想问问那些把孩子送到里面去的家长，是否知道里面的真实状况。如果不知道，我觉得父母想让孩子成才的初心是好的，只是成为了这么一个巨大骗局的受害者，但是如果知道，那么这些父母就成为了这种问题学校多年虐待无数孩子的支持力，是他们教育的缺失。也希望大家能理智讨论，互掐不可取',)","('0.057%',)","('99.943%',)",负向
"('这里已经都是互掐的了',)","('66.969%',)","('33.031%',)",负向
"('《狂人日记》：“我翻开历史一查，这历史没有年代，歪歪斜斜的每页上都写着‘仁义道德’四个字。我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字是‘吃人’！”——鲁迅',)","('7.197%',)","('92.803%',)",负向
"('只希望热度不要下去，不要让志愿者们受到伤害。你我皆是光，聚则破黑暗。寄意寒星荃不察，我以我血荐轩辕。君豹无计逃众目，风雨飘摇豫章园。关注豫章书院事件 ，只是我多年来的执念。',)","('0.206%',)","('99.794%',)",负向
"('其实想了一会要不要发这个文，之前跟一个朋友讨论作为一个普通人应不应该关心看似和自己根本毫无关系的社会大事件。我说还是得关注关注吧，但是有说不上来为什么。他说那些东西，看看就好了，有时间去关心还不如想想怎么把自己的日子先过好。当时我觉得他说的很有道理，阿富汗被轰炸了跟我有关系吗？想这些能让我赚到下一顿餐费吗？但是今天我想明白了，其实有些事件我们其实真的应该关注，即使对自己来说根本毫无关联。前面说这么多其实我只是想引入我现在想讨论的一个话题:豫章书院对举报人员和志愿者无情和残忍的报复。我为什么说无情和残忍，无情是他们让几十个上百个甚至上千个一心为帮助受害的孩子而暴露身份的志愿者无法安宁度日;残忍是他们其中的一个或者几个已经被逼到轻生。我不知道有多少人愿意关注这件事，而且有可能会有人说我有事儿没事儿就发这些东西像个傻X，但是我还是想说出来，再微薄的力量也是力量，也能够给予这些无辜的受害者一点点的帮助，至少，在他们得知还有人愿意写文帮助他们的时候，给他们带去一点温暖。对这件事的关注是从B站的一个视频开始的，发布视频的阿婆主ID叫“温柔JUNZ”视频的大致能容是介绍他接受从豫章书院解脱出来的学生的请求，曝光豫章书院的黑幕，到组织志愿者寻找证据，起诉豫章书院。但是在举报成功两年间一直被逍遥法外的吴军豹（原豫章书院负责人）和他的团伙采取各种方式报复，给生活带来了极大的破坏。其中一名志愿者（知乎ID子沐）被迫害以致患上严重的抑郁症，最后绝望自杀。在视频中，他大致说明了事情的前因后果。表达了对子沐的自责，也表达了对“豫章书院团伙”的愤怒。起初我也怀疑视频言论的真实性，为此我翻阅了大量的其他阿婆主上传的关于这个事件的视频，还翻看了温柔和子沐的知乎账号，验证了视频的真实性。说到这里，我还没说明我发文的目的，首先我绝对不是为了蹭热度，我没必要蹭这个热度，我只是想为那些无辜的人尽一点绵薄之力。让很多一点点的人能够关注这件事。就像阿婆主文案中说的一样，有更多人知道事情的真相，更多的关注这件事他和志愿者就能更加的安全。同时，也能更快的打破这条灰色产业链，让更多的孩子不在受到伤害。一直以来我一直有一个想法，就是作为一个有思想觉悟的大学生，或许我们真的应该更多的关注到这些似乎与自己无关紧要，但事实上却又发生在自己身边的事儿，而不是事不关己高高挂起。我们应该更有社会责任感。（转）',)","('0.059%',)","('99.941%',)",负向
